W, [2018-07-11T09:15:11.512881 #3074]  WARN -- default-centos-72: Deprecated configuration detected:
require_chef_omnibus
Run 'kitchen doctor' for details.

I, [2018-07-11T09:15:12.655267 #3074]  INFO -- default-centos-72: -----> Cleaning up any prior instances of <default-centos-72>
I, [2018-07-11T09:15:12.655878 #3074]  INFO -- default-centos-72: -----> Destroying <default-centos-72>...
I, [2018-07-11T09:15:12.743949 #3074]  INFO -- default-centos-72: Error response from daemon: Container bf185f1a7fcb80fa9edfbb8844fbef679e1699bdd788fb717aa2b1c1c4a18574 is not running
I, [2018-07-11T09:15:12.768373 #3074]  INFO -- default-centos-72: Finished destroying <default-centos-72> (0m0.11s).
I, [2018-07-11T09:15:12.769163 #3074]  INFO -- default-centos-72: -----> Testing <default-centos-72>
I, [2018-07-11T09:15:12.769627 #3074]  INFO -- default-centos-72: -----> Creating <default-centos-72>...
I, [2018-07-11T09:15:12.991382 #3074]  INFO -- default-centos-72: Sending build context to Docker daemon  53.76kB
I, [2018-07-11T09:15:13.025989 #3074]  INFO -- default-centos-72: Step 1/16 : FROM centos:centos7
I, [2018-07-11T09:15:13.026603 #3074]  INFO -- default-centos-72:  ---> 49f7960eb7e4
I, [2018-07-11T09:15:13.026942 #3074]  INFO -- default-centos-72: Step 2/16 : ENV container docker
I, [2018-07-11T09:15:13.027328 #3074]  INFO -- default-centos-72:  ---> Using cache
I, [2018-07-11T09:15:13.027617 #3074]  INFO -- default-centos-72:  ---> e01eb71ec441
I, [2018-07-11T09:15:13.028075 #3074]  INFO -- default-centos-72: Step 3/16 : RUN yum clean all
I, [2018-07-11T09:15:13.028656 #3074]  INFO -- default-centos-72:  ---> Using cache
I, [2018-07-11T09:15:13.029035 #3074]  INFO -- default-centos-72:  ---> d5cab4a5fb83
I, [2018-07-11T09:15:13.029495 #3074]  INFO -- default-centos-72: Step 4/16 : RUN yum install -y sudo openssh-server openssh-clients which curl
I, [2018-07-11T09:15:13.030150 #3074]  INFO -- default-centos-72:  ---> Using cache
I, [2018-07-11T09:15:13.030715 #3074]  INFO -- default-centos-72:  ---> d95f2ae04c8c
I, [2018-07-11T09:15:13.030736 #3074]  INFO -- default-centos-72: Step 5/16 : RUN ssh-keygen -t rsa -f /etc/ssh/ssh_host_rsa_key -N ''
I, [2018-07-11T09:15:13.032563 #3074]  INFO -- default-centos-72:  ---> Using cache
I, [2018-07-11T09:15:13.032584 #3074]  INFO -- default-centos-72:  ---> 9efd8c456df9
I, [2018-07-11T09:15:13.032600 #3074]  INFO -- default-centos-72: Step 6/16 : RUN ssh-keygen -t dsa -f /etc/ssh/ssh_host_dsa_key -N ''
I, [2018-07-11T09:15:13.032641 #3074]  INFO -- default-centos-72:  ---> Using cache
I, [2018-07-11T09:15:13.032652 #3074]  INFO -- default-centos-72:  ---> eb7c46958772
I, [2018-07-11T09:15:13.032691 #3074]  INFO -- default-centos-72: Step 7/16 : RUN if ! getent passwd kitchen; then                 useradd -d /home/kitchen -m -s /bin/bash -p '*' kitchen;               fi
I, [2018-07-11T09:15:13.032749 #3074]  INFO -- default-centos-72:  ---> Using cache
I, [2018-07-11T09:15:13.032761 #3074]  INFO -- default-centos-72:  ---> 2d2651819762
I, [2018-07-11T09:15:13.032825 #3074]  INFO -- default-centos-72: Step 8/16 : RUN echo "kitchen ALL=(ALL) NOPASSWD: ALL" >> /etc/sudoers
I, [2018-07-11T09:15:13.032834 #3074]  INFO -- default-centos-72:  ---> Using cache
I, [2018-07-11T09:15:13.032842 #3074]  INFO -- default-centos-72:  ---> 69d8a9d4cc68
I, [2018-07-11T09:15:13.032851 #3074]  INFO -- default-centos-72: Step 9/16 : RUN echo "Defaults !requiretty" >> /etc/sudoers
I, [2018-07-11T09:15:13.032862 #3074]  INFO -- default-centos-72:  ---> Using cache
